date,pnl,total_profit,n,equity_12M
2021-08-02,177130.6830656085,14264064.993887614,5,26264064.993887614
2021-08-03,2863.811441510057,14266928.805329125,5,26266928.805329125
2021-08-04,108785.74038982012,14375714.545718946,5,26375714.545718946
2021-08-05,237461.97335193044,14613176.519070877,5,26613176.51907088
2021-08-06,-72154.09356496559,14541022.425505912,3,26541022.425505914
2021-08-09,-103900.71787935062,14437121.70762656,1,26437121.70762656
2021-08-10,-89864.89579076426,14347256.811835796,1,26347256.811835796
2021-08-11,98501.58199510477,14445758.393830901,1,26445758.393830903
2021-08-12,-131142.09965360974,14314616.294177292,2,26314616.294177294
2021-08-13,24748.92395982775,14339365.218137119,2,26339365.21813712
2021-08-16,43860.92932679832,14383226.147463918,2,26383226.147463918
2021-08-17,-24347.928367688928,14358878.219096228,2,26358878.21909623
2021-08-18,-51944.716878571046,14306933.502217658,1,26306933.502217658
2021-08-19,-151361.5384615387,14155571.96375612,1,26155571.96375612
2021-08-20,38624.42825681811,14194196.392012939,1,26194196.39201294
2021-08-23,194146.20060790353,14388342.592620842,2,26388342.592620842
2021-08-24,-150943.09271935318,14237399.499901488,4,26237399.49990149
2021-08-25,443090.4323914314,14680489.93229292,5,26680489.93229292
2021-08-26,-148388.44381952763,14532101.488473391,5,26532101.488473393
2021-08-27,113778.86539621568,14645880.353869608,5,26645880.35386961
2021-08-30,392703.4141924385,15038583.768062046,5,27038583.768062048
2021-08-31,55703.614612832636,15094287.382674878,5,27094287.38267488
2021-09-01,14743.747800761017,15109031.13047564,5,27109031.13047564
2021-09-02,-135477.47172552216,14973553.658750119,5,26973553.658750117
2021-09-03,24141.33612514088,14997694.99487526,5,26997694.99487526
2021-09-06,-100092.93349356281,14897602.061381698,2,26897602.061381698
