date,pnl,total_profit,n,equity_bt,year
2024-06-14,13771.22397007407,9041005.12739362,106,69041005.12739362,2024
2024-06-17,35222.78851760111,9076227.915911222,106,69076227.91591123,2024
2024-06-18,36451.14131958189,9112679.057230804,107,69112679.0572308,2024
2024-06-19,45847.29397145064,9158526.351202255,108,69158526.35120225,2024
2024-06-20,107113.3000579163,9265639.651260171,108,69265639.65126017,2024
2024-06-21,-19357.379216862042,9246282.272043308,108,69246282.2720433,2024
2024-06-24,-63976.32135337989,9182305.950689929,108,69182305.95068993,2024
2024-06-25,16118.337359273748,9198424.288049202,108,69198424.2880492,2024
2024-06-26,55790.21076717091,9254214.498816373,107,69254214.49881637,2024
2024-06-27,-12717.329324868919,9241497.169491503,106,69241497.1694915,2024
2024-06-28,51579.34220298405,9293076.511694487,106,69293076.51169449,2024
2024-07-01,38744.39927338381,9331820.910967872,106,69331820.91096787,2024
2024-07-02,-20758.00139840092,9311062.90956947,105,69311062.90956947,2024
2024-07-03,71000.05195675335,9382062.961526224,106,69382062.96152623,2024
2024-07-04,66086.18551570729,9448149.147041932,105,69448149.14704193,2024
2024-07-05,69502.59894482067,9517651.745986752,105,69517651.74598676,2024
2024-07-08,16248.945787154327,9533900.691773906,105,69533900.6917739,2024
2024-07-09,28216.088755045213,9562116.780528951,104,69562116.78052895,2024
2024-07-10,66742.12287772473,9628858.903406676,104,69628858.90340668,2024
2024-07-11,39324.552506421875,9668183.455913099,102,69668183.4559131,2024
2024-07-12,-122030.74176472545,9546152.714148372,102,69546152.71414837,2024
2024-07-15,-25945.944415651833,9520206.769732721,102,69520206.76973271,2024
2024-07-16,12235.121088398804,9532441.89082112,103,69532441.89082111,2024
2024-07-17,-25654.00761514912,9506787.88320597,103,69506787.88320597,2024
2024-07-18,-99625.27016838297,9407162.613037588,103,69407162.61303759,2024
2024-07-19,-83988.83840964938,9323173.774627939,102,69323173.77462794,2024
2024-07-22,-178588.30435299544,9144585.470274944,100,69144585.47027494,2024
2024-07-23,116087.54188446011,9260673.012159403,101,69260673.0121594,2024
